Lead_ID,Client_Name,Client_Company,Industry,Region,Product_Interest,Lead_Source,Touchpoint_Sequence,Converted
L000001,Daniel Johnson,Raytheon GmbH,Telecom,Europe,5G Testbeds,,"['Keysight_University_Course', 'Oscilloscope_Selector_Tool', 'Opportunity', 'Technical_Demo', 'IMS_Badge_Scan', 'No_Conversion']",0
L000002,Ahmed Ito,Qualc_Tech,Aerospace,APAC,Oscilloscopes,Webinar,['Customer'],1
L000003,Priya Khan,NXP Semiconductors GmbH,Electronics,,,,"['DesignCon_Booth_Visit', 'Application_Engineer_Call', 'Whitepaper_Download_5G_Test', 'Oscilloscope_Selector_Tool', 'Whitepaper_Download_5G_Test', 'Whitepaper_Download_5G_Test', 'No_Conversion']",0
L000004,Kenji Tanaka,Tesla Energy GmbH,Automotive,,,Email Campaign,"['PathWave_Trial_Request', 'Customer']",1
L000005,Daniel Williams,Infin_Tech,Aerospace,,5G Testbeds,,"['Application_Engineer_Call', 'Oscilloscope_Selector_Tool', 'Customer']",1
L000006,Kenji Martinez,NXP Semiconductors,Aerospace,LATAM,Automotive Ethernet,Sales Outreach,"['Lab_Integration_Discussion', 'PathWave_Trial_Request', 'SQL', 'Loaner_Unit_Evaluation', 'Opportunity', 'No_Conversion']",0
L000007,Kenji Garcia,Bosch GmbH,,APAC,,Website,"['Application_Engineer_Call', 'PathWave_Trial_Request', 'IMS_Badge_Scan', 'LinkedIn_Ad_Click', 'DesignCon_Booth_Visit', 'SQL', 'Opportunity', 'AutoSens_Tech_Talk', 'DesignCon_Booth_Visit', 'Customer']",1
L000008,Chen Anders,,Semiconductor,Europe,,,"['Loaner_Unit_Evaluation', 'DesignCon_Booth_Visit', 'Keysight_Workshop_RF_Testing', 'Website_Product_Page', 'Technical_Demo', 'PathWave_Trial_Request', 'Oscilloscope_Selector_Tool', 'Whitepaper_Download_5G_Test', 'Whitepaper_Download_5G_Test', 'Oscilloscope_Selector_Tool', 'Customer']",1
L000009,Daniel Chen,Samsung Electronics,Telecom,North America,,Sales Outreach,"['SQL', 'Loaner_Unit_Evaluation', 'Application_Engineer_Call', 'No_Conversion']",0
L000010,Daniel Johnson,,Automotive,North America,Automotive Ethernet,Website,"['PathWave_Trial_Request', 'Application_Engineer_Call', 'IMS_Badge_Scan', 'LinkedIn_Ad_Click', 'Oscilloscope_Selector_Tool', 'Customer']",1
L000011,Sofia Williams,Qualcomm GmbH,,North America,,Sales Outreach,"['LinkedIn_Ad_Click', 'Technical_Demo', 'Oscilloscope_Selector_Tool', 'No_Conversion']",0
L000012,Sofia Patel,NXPSe_Tech,,Europe,Oscilloscopes,Email Campaign,"['Website_Product_Page', 'LinkedIn_Ad_Click', 'No_Conversion']",0
L000013,Maria Tanaka,MetaC_Tech,Semiconductor,,Oscilloscopes,Webinar,"['Technical_Demo', 'Opportunity', 'Technical_Demo', 'Customer']",1
L000014,Maria Martinez,,Semiconductor,,,Email Campaign,"['Website_Product_Page', 'Keysight_University_Course', 'Application_Engineer_Call', 'No_Conversion']",0
L000015,Hiroshi Anders,,Electronics,Europe,Oscilloscopes,,"['AutoSens_Tech_Talk', 'Customer']",1
L000016,Michael Martinez,,Electronics,North America,5G Testbeds,,"['Lab_Integration_Discussion', 'Whitepaper_Download_5G_Test', 'Technical_Demo', 'MQL', 'No_Conversion']",0
L000017,Ravi Khan,Broadcom,Electronics,Europe,Oscilloscopes,Website,"['Opportunity', 'IMS_Badge_Scan', 'Whitepaper_Download_5G_Test', 'AutoSens_Tech_Talk', 'Lab_Integration_Discussion', 'No_Conversion']",0
L000018,Chen Chen,,Semiconductor,APAC,5G Testbeds,Sales Outreach,"['Keysight_Workshop_RF_Testing', 'Oscilloscope_Selector_Tool', 'MQL', 'PathWave_Trial_Request', 'Technical_Demo', 'SQL', 'IMS_Badge_Scan', 'No_Conversion']",0
