Lead_ID,Client_Name,Client_Company,Industry,Region,Product_Interest,Lead_Source,Touchpoint_Sequence,Converted
L010001,Ahmed Garcia,Qualc_Tech,Telecom,LATAM,Oscilloscopes,LinkedIn,"['LinkedIn_Ad_Click', 'PathWave_Trial_Request', 'PathWave_Trial_Request', 'MQL', 'Opportunity', 'PathWave_Trial_Request', 'Technical_Demo', 'Technical_Demo', 'Keysight_University_Course', 'Keysight_University_Course', 'Customer']",1
L010002,Laura Patel,Infin_Tech,Automotive,,Automotive Ethernet,Email Campaign,"['Loaner_Unit_Evaluation', 'Whitepaper_Download_5G_Test', 'IMS_Badge_Scan', 'DesignCon_Booth_Visit', 'Opportunity', 'Website_Product_Page', 'No_Conversion']",0
L010003,Maria Anders,,Automotive,Europe,PathWave Software,,"['PathWave_Trial_Request', 'PathWave_Trial_Request', 'Oscilloscope_Selector_Tool', 'PathWave_Trial_Request', 'Website_Product_Page', 'IMS_Badge_Scan', 'AutoSens_Tech_Talk', 'Customer']",1
L010004,Michael Khan,Samsu_Tech,Electronics,North America,,Event,['No_Conversion'],0
L010005,,NXP Semiconductors,,Europe,,Sales Outreach,"['AutoSens_Tech_Talk', 'Whitepaper_Download_5G_Test', 'Customer']",1
L010006,Hiroshi Chen,Meta Connectivity Labs,,Europe,,Email Campaign,"['Website_Product_Page', 'Application_Engineer_Call', 'Loaner_Unit_Evaluation', 'DesignCon_Booth_Visit', 'Customer']",1
L010007,Priya Williams,NXPSe_Tech,Electronics,APAC,Oscilloscopes,Sales Outreach,"['Website_Product_Page', 'Oscilloscope_Selector_Tool', 'Keysight_Workshop_RF_Testing', 'DesignCon_Booth_Visit', 'Oscilloscope_Selector_Tool', 'Lab_Integration_Discussion', 'Opportunity', 'Website_Product_Page', 'Customer']",1
L010008,,,Telecom,APAC,Automotive Ethernet,Webinar,"['MQL', 'Whitepaper_Download_5G_Test', 'DesignCon_Booth_Visit', 'Keysight_University_Course', 'Website_Product_Page', 'AutoSens_Tech_Talk', 'DesignCon_Booth_Visit', 'Customer']",1
L010009,Hiroshi Johnson,Infineon,,,Oscilloscopes,Email Campaign,"['Keysight_Workshop_RF_Testing', 'PathWave_Trial_Request', 'DesignCon_Booth_Visit', 'MQL', 'Technical_Demo', 'Customer']",1
L010010,Ravi Ito,Raytheon GmbH,Automotive,,PathWave Software,Website,"['LinkedIn_Ad_Click', 'Website_Product_Page', 'LinkedIn_Ad_Click', 'Loaner_Unit_Evaluation', 'Website_Product_Page', 'Keysight_University_Course', 'Lab_Integration_Discussion', 'SQL', 'MQL', 'Loaner_Unit_Evaluation', 'Customer']",1
L010011,Maria Lee,Samsung Electronics GmbH,Automotive,LATAM,,Event,"['Whitepaper_Download_5G_Test', 'DesignCon_Booth_Visit', 'Keysight_Workshop_RF_Testing', 'Oscilloscope_Selector_Tool', 'Customer']",1
L010012,Hiroshi Lee,Broadcom,,,5G Testbeds,LinkedIn,"['Website_Product_Page', 'Lab_Integration_Discussion', 'Keysight_Workshop_RF_Testing', 'Website_Product_Page', 'DesignCon_Booth_Visit', 'Whitepaper_Download_5G_Test', 'PathWave_Trial_Request', 'No_Conversion']",0
L010013,Ahmed Williams,Samsung Electronics,,,PathWave Software,LinkedIn,"['Keysight_University_Course', 'Keysight_University_Course', 'Customer']",1
L010014,Sarah Khan,Raytheon GmbH,,Europe,5G Testbeds,Webinar,"['Oscilloscope_Selector_Tool', 'Lab_Integration_Discussion', 'Technical_Demo', 'Application_Engineer_Call', 'Whitepaper_Download_5G_Test', 'Technical_Demo', 'PathWave_Trial_Request', 'Keysight_University_Course', 'No_Conversion']",0
L010015,,,,APAC,,Webinar,"['MQL', 'Technical_Demo', 'SQL', 'Opportunity', 'Loaner_Unit_Evaluation', 'MQL', 'DesignCon_Booth_Visit', 'DesignCon_Booth_Visit', 'Technical_Demo', 'Customer']",1
L010016,Chen Khan,Bosch_Tech,Telecom,APAC,Oscilloscopes,Email Campaign,['Customer'],1
L010017,Sarah Anders,Infineon,Semiconductor,APAC,Automotive Ethernet,Website,"['IMS_Badge_Scan', 'MQL', 'Loaner_Unit_Evaluation', 'No_Conversion']",0
L010018,Kenji Patel,Broadcom,Automotive,APAC,,Sales Outreach,['No_Conversion'],0
L010019,Priya Williams,Qualc_Tech,Telecom,LATAM,PathWave Software,Website,"['IMS_Badge_Scan', 'PathWave_Trial_Request', 'Whitepaper_Download_5G_Test', 'Website_Product_Page', 'Technical_Demo', 'SQL', 'Customer']",1
L010020,Daniel Khan,Bosch_Tech,Electronics,APAC,Automotive Ethernet,Email Campaign,"['Website_Product_Page', 'IMS_Badge_Scan', 'No_Conversion']",0
L010021,,Broadcom GmbH,Telecom,Europe,Oscilloscopes,Event,"['Technical_Demo', 'PathWave_Trial_Request', 'Keysight_University_Course', 'LinkedIn_Ad_Click', 'Website_Product_Page', 'Customer']",1
L010022,Chen Ito,Samsung Electronics GmbH,Automotive,Europe,Automotive Ethernet,Website,"['IMS_Badge_Scan', 'SQL', 'SQL', 'Technical_Demo', 'Lab_Integration_Discussion', 'Website_Product_Page', 'Keysight_University_Course', 'Lab_Integration_Discussion', 'MQL', 'Customer']",1
